item_id,title,description,category,user_id,rating,review_text,views,purchases
ITEM_0001,Premium Journal Lite,The Premium Journal Lite is a top-rated books item designed for modern users who value quality and convenience.,Books,user_095,4.1,Can't believe how good this is for the price. Amazing deal!,216,4
ITEM_0001,Premium Journal Lite,The Premium Journal Lite is a top-rated books item designed for modern users who value quality and convenience.,Books,user_004,4.5,Five stars! This is exactly what I was looking for.,13,4
ITEM_0001,Premium Journal Lite,The Premium Journal Lite is a top-rated books item designed for modern users who value quality and convenience.,Books,user_026,2.8,Functional but could use some improvements.,301,35
ITEM_0001,Premium Journal Lite,The Premium Journal Lite is a top-rated books item designed for modern users who value quality and convenience.,Books,user_001,3.5,Decent quality for the price range. Not bad.,174,17
ITEM_0001,Premium Journal Lite,The Premium Journal Lite is a top-rated books item designed for modern users who value quality and convenience.,Books,user_020,4.1,My whole family loves it. Very well made and durable.,194,12
ITEM_0001,Premium Journal Lite,The Premium Journal Lite is a top-rated books item designed for modern users who value quality and convenience.,Books,user_046,2.1,Cheaply made and arrived damaged. Want a refund.,373,58
ITEM_0001,Premium Journal Lite,The Premium Journal Lite is a top-rated books item designed for modern users who value quality and convenience.,Books,user_069,4.1,Perfect gift idea. The recipient was thrilled!,150,40
ITEM_0002,Wireless Pulse Oximeter Lite,High-quality health product. The Wireless Pulse Oximeter Lite offers excellent performance and reliability for everyday use.,Health,user_085,5.0,Outstanding value for the price. Would buy again.,437,59
ITEM_0002,Wireless Pulse Oximeter Lite,High-quality health product. The Wireless Pulse Oximeter Lite offers excellent performance and reliability for everyday use.,Health,user_013,4.6,Sleek design and works flawlessly. Very impressed.,186,10
ITEM_0002,Wireless Pulse Oximeter Lite,High-quality health product. The Wireless Pulse Oximeter Lite offers excellent performance and reliability for everyday use.,Health,user_048,4.7,Outstanding value for the price. Would buy again.,349,82
ITEM_0002,Wireless Pulse Oximeter Lite,High-quality health product. The Wireless Pulse Oximeter Lite offers excellent performance and reliability for everyday use.,Health,user_010,3.2,Decent quality for the price range. Not bad.,125,10
ITEM_0002,Wireless Pulse Oximeter Lite,High-quality health product. The Wireless Pulse Oximeter Lite offers excellent performance and reliability for everyday use.,Health,user_060,4.2,Can't believe how good this is for the price. Amazing deal!,166,53
ITEM_0003,Advanced Headphones One,Upgrade your lifestyle with the Advanced Headphones One. Built for durability and engineered for superior electronics experience.,Electronics,user_009,4.9,Top notch quality. You won't be disappointed.,161,13
ITEM_0003,Advanced Headphones One,Upgrade your lifestyle with the Advanced Headphones One. Built for durability and engineered for superior electronics experience.,Electronics,user_084,4.1,Sleek design and works flawlessly. Very impressed.,71,7
ITEM_0003,Advanced Headphones One,Upgrade your lifestyle with the Advanced Headphones One. Built for durability and engineered for superior electronics experience.,Electronics,user_096,3.5,"It's fine. Standard product, standard experience.",219,51
